Index,Sub,EDSname,Datatype,Access,Value,varname,LowLimit,UpLimit,hasDefault,hasLimit,refuseRead,refuseWrite,defaultInEDS,implementation,Size,ObjectCode,mapable
0x1a02,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1a02,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x05,Transmit PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x06,Transmit PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x07,Transmit PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a02,0x08,Transmit PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x00,Transmit PDO Mapping Parameter Highest sub-index supported,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,RECORD,no
0x1a03,0x01,Transmit PDO Mapping Parameter Mapping Entry 1,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x02,Transmit PDO Mapping Parameter Mapping Entry 2,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x03,Transmit PDO Mapping Parameter Mapping Entry 3,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x04,Transmit PDO Mapping Parameter Mapping Entry 4,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x05,Transmit PDO Mapping Parameter Mapping Entry 5,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x06,Transmit PDO Mapping Parameter Mapping Entry 6,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x07,Transmit PDO Mapping Parameter Mapping Entry 7,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
0x1a03,0x08,Transmit PDO Mapping Parameter Mapping Entry 8,UNSIGNED32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,no
 
0x2000,0x00,Manufacturer Data Highest sub-index supported,UNSIGNED8,ro,7,NONE,0,255,yes,no,no,no,1,ManagedConst,0,RECORD,no
0x2000,0x01,Manufacturer Data U8,UNSIGNED8,rw,0,NONE,0,255,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x02,Manufacturer Data U16,UNSIGNED16,rw,0,NONE,0,65535,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x03,Manufacturer Data U32,UNSIGNED32,rw,0,NONE,0,4294967295,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x04,Manufacturer Data I8,INTEGER8,rw,0,NONE,-128,127,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x05,Manufacturer Data I16,INTEGER16,rw,0,NONE,-32768,32767,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x06,Manufacturer Data I32,INTEGER32,rw,0,NONE,-2147483648,2147483647,yes,no,no,no,1,ManagedVariable,0,,both
0x2000,0x07,Manufacturer Data R32,REAL32,rw,0,NONE,0,0,yes,no,no,no,1,ManagedVariable,0,,both
